link,title,description,category,pub_date,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5,tags/6,tags/7,tags/8,tags/9,tags/10,tags/11,tags/12,tags/13,tags/14,tags/15
https://vnexpress.net/chieu-lua-galaxy-note9-xa-kho-gia-re-4133364.html,Chiêu lừa 'Galaxy Note9 xả kho giá rẻ',"Kiên Hoàng, quận Đống Đa (Hà Nội), đang băn khoăn về điện thoại Galaxy Note9 ""xả kho"" giá 4 triệu đồng, bởi khi nhận hàng không được lắp sim dùng thử.",Số hóa,"Thứ tư, 22/7/2020, 07:00 (GMT+7)",samsung galaxy note9,note9 hàng nhái,note9 giá rẻ,điện thoại nhái,,,,,,,,,,,,
https://vnexpress.net/thi-truong-smartphone-toan-cau-giam-manh-4139251.html,Thị trường smartphone toàn cầu giảm mạnh,"Doanh số smartphone toàn cầu trong quý II/2020 đạt 271 triệu máy, giảm 24% so với cùng kỳ năm ngoái.",Số hóa,"Thứ bảy, 1/8/2020, 00:00 (GMT+7)",doanh số smartphone,doanh số smartphone toàn cầu,thị trường smartphone giảm,canalys,counterpoint,,,,,,,,,,,
https://vnexpress.net/kia-stinger-khi-nguoi-han-thach-dau-xe-sang-duc-3648306.html,Kia Stinger - khi người Hàn thách đấu xe sang Đức,"Mẫu sedan của hãng xe Hàn có giá bán dự kiến không rẻ, nhưng so với các đối thủ như serie 3, C-class hay A4 thì dễ chịu hơn nhiều.",Xe,"Thứ sáu, 29/9/2017, 10:41 (GMT+7)",kia stinger,kia,stinger,sedan,xe hàn,đối thủ bmw serie 3,,,,,,,,,,
https://vnexpress.net/iphone-11-trung-quoc-do-bo-vao-viet-nam-4133923.html,iPhone 11 Trung Quốc đổ bộ vào Việt Nam,"Thị trường trong nước xuất hiện iPhone 11 phiên bản Trung Quốc giá thấp hơn máy chính hãng 3 - 4 triệu đồng, nhưng giới hạn tính năng gọi điện FaceTime.",Số hóa,"Thứ tư, 22/7/2020, 11:17 (GMT+7)",apple,iphone 11,iphone 11 giá rẻ,,,,,,,,,,,,,
https://vnexpress.net/gia-iphone-11-xuong-duoi-18-trieu-dong-4131423.html,Giá iPhone 11 xuống dưới 18 triệu đồng,"Giá iPhone 11 chính hãng vừa giảm hơn một triệu đồng so với tháng 6, xuống 17,6 triệu đồng cho bản thấp nhất, nhưng có sự chênh lệch giữa các màu.",Số hóa,"Thứ năm, 16/7/2020, 16:17 (GMT+7)",apple,iphone 11,giá iphone 11,iphone 11 giảm giá,iphone 11 giá rẻ,,,,,,,,,,,
https://vnexpress.net/chien-tranh-thuong-mai-chan-cua-ve-nuoc-cua-xe-my-san-xuat-tai-trung-quoc-3929153.html,Chiến tranh thương mại 'chặn cửa' về nước của xe Mỹ sản xuất tại Trung Quốc,"Thuế nhập khẩu cao mà Trump áp cho hàng hóa từ Trung Quốc khiến ngay cả GM, Ford, Chrysler gặp khó khi xuất khẩu ôtô ngược về Mỹ.",Xe,"Thứ ba, 25/6/2019, 10:02 (GMT+7)",xe hơi,ford,gm,chevrolet,cadillac,lincoln,xe hơi trung quốc,xe hơi mỹ,,,,,,,,
https://vnexpress.net/cha-me-tiep-suc-cho-con-trong-mua-thi-4144240.html,Cha mẹ tiếp sức cho con trong mùa thi,"Đội mưa, chỉnh khẩu trang, đập tay chúc mừng con... là những hành động đẹp của các phụ huynh trong mùa thi tốt nghiệp THPT 2020.",Giáo dục,"Thứ hai, 10/8/2020, 15:11 (GMT+7)",phụ huynh,tiếp sức,mùa dịch,thi tốt nghiệp thpt,,,,,,,,,,,,
https://vnexpress.net/nen-mua-xe-cu-nao-trong-khoang-300-350-trieu-4143970.html,Nên mua xe cũ nào trong khoảng 300-350 triệu?,"Tôi cần mua xe nhu cầu cần thiết, không khoe mẽ, xe chỉ di chuyển trong tỉnh, đường ít ngập nước. (Đoàn Hải)",Xe,"Thứ ba, 11/8/2020, 07:26 (GMT+7)",xe cũ,xe 300 triệu,xe đi tỉnh,,,,,,,,,,,,,
https://vnexpress.net/da-lo-nhu-thac-nuoc-suyt-vui-lap-oto-4144605.html,Đá lở như thác nước suýt vùi lấp ôtô,"Những tảng đá lớn đột nhiên lăn xuống từ dốc núi, cắt ngang mấy dòng xe nối đuôi nhau, hôm 8/8 ở Tứ Xuyên.",Xe,"Thứ ba, 11/8/2020, 09:31 (GMT+7)",chạy đường núi,đè bẹp ôtô,tình huống giao thông,,,,,,,,,,,,,
https://vnexpress.net/thi-sinh-rang-ro-trong-ngay-thi-dau-tien-4143643.html,Thí sinh rạng rỡ trong ngày thi đầu tiên,"Bất chấp nỗi lo về dịch bệnh, nhiều thí sinh thi tốt nghiệp THPT vẫn rạng rỡ, tự tin sau môn thi Ngữ văn, sáng 9/8.",Giáo dục,"Chủ nhật, 9/8/2020, 11:21 (GMT+7)",thi tốt nghiệp thpt,tự tin,thí sinh,hà nôi,tp hcm,covid-19,,,,,,,,,,
https://vnexpress.net/dap-an-24-ma-de-mon-toan-thi-tot-nghiep-thpt-4143767.html,Đáp án 24 mã đề môn Toán thi tốt nghiệp THPT,Môn Toán tốt nghiệp THPT chiều 9/8 gồm 24 mã đề với các câu hỏi được xáo trộn từ 4 đề thi gốc nhằm tránh gian lận thi cử.,Giáo dục,"Chủ nhật, 9/8/2020, 16:44 (GMT+7)",đáp án 24 mã đề toán,đáp án toán,24 mã đề,thi tốt nghiệp thpt,,,,,,,,,,,,
https://vnexpress.net/nu-sinh-bo-thi-vi-bo-mat-4143670.html,Nữ sinh bỏ thi vì bố mất,"Chuẩn bị bước vào môn đầu tiên kỳ thi tốt nghiệp THPT, em H'Chăl - Trường THPT Dân tộc Nội trú N'Trang Lơng, bất ngờ nhận tin bố chết, đành bỏ thi.",Giáo dục,"Chủ nhật, 9/8/2020, 11:54 (GMT+7)",nữ thí sinh,đặc cách thi thpt,đăk nông,,,,,,,,,,,,,
https://vnexpress.net/bai-dat-nuoc-vao-de-van-thi-tot-nghiep-thpt-4143642.html,Bài 'Đất Nước' vào đề Văn thi tốt nghiệp THPT,"Đề Văn thi tốt nghiệp THPT sáng 9/8 gồm hai phần, trong đó phần làm văn hỏi về tác phẩm ""Đất Nước"" của Nguyễn Khoa Điềm, chiếm 5 điểm.",Giáo dục,"Chủ nhật, 9/8/2020, 09:42 (GMT+7)",đề ngữ văn,đề văn,thi tốt nghiệp thpt,môn thi đầu tiên,,,,,,,,,,,,
https://vnexpress.net/nu-sinh-duoc-csgt-cho-den-diem-thi-4143773.html,Nữ sinh được CSGT chở đến điểm thi,"Thấy nữ sinh và người chị hư xe trong khi trời mưa lớn, sắp đến giờ thi, đại uý CSGT Nguyễn Anh Tú nhường áo mưa, chở em đến điểm thi Ernst Thälmann.",Giáo dục,"Chủ nhật, 9/8/2020, 17:42 (GMT+7)",thí sinh,thi tốt nghiệp,cảnh sát giao thông,,,,,,,,,,,,,
https://vnexpress.net/ong-nguyen-duc-chung-kiem-tra-diem-thi-4143625.html,Ông Nguyễn Đức Chung kiểm tra điểm thi,"Chủ tịch TP Hà Nội Nguyễn Đức Chung yêu cầu theo dõi sát sao sức khỏe thí sinh từ Đà Nẵng về, có thể cho thi riêng và xét nghiệm lại.",Giáo dục,"Chủ nhật, 9/8/2020, 08:58 (GMT+7)",theo dõi sức khỏe,thí sinh từ vùng dịch về,chủ tịch hà nội nguyễn đức chung,thi tốt nghiệp thpt,,,,,,,,,,,,
https://vnexpress.net/day-con-gon-gang-ma-khong-can-la-mang-4120501.html,Dạy con gọn gàng mà không cần la mắng,"Để rèn luyện tính gọn gàng cho con, bạn nên để con có không gian riêng, kết hợp các quy tắc và tránh đặt giới hạn thời gian cho việc thay đổi.",Giáo dục,"Thứ năm, 25/6/2020, 01:00 (GMT+7)",dạy trẻ gọn gàng,không cần la mắng,cách dạy con,,,,,,,,,,,,,
